GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
NivelesInstituto,es.uma.informatica.sii.nivelesinstituto,NivelesInstitutoApplication,5,3,0,0,2,1,1,1,1,1
NivelesInstituto,es.uma.informatica.sii.nivelesinstituto.exceptions,ElementoYaExistenteException,3,4,0,0,2,2,1,1,1,1
NivelesInstituto,es.uma.informatica.sii.nivelesinstituto.exceptions,ElementoNoExisteException,3,4,0,0,2,2,1,1,1,1
NivelesInstituto,es.uma.informatica.sii.nivelesinstituto.exceptions,NivelNoVacioException,3,4,0,0,2,2,1,1,1,1
NivelesInstituto,es.uma.informatica.sii.nivelesinstituto.dtos,Nombre.NombreBuilder,4,14,0,0,0,1,1,3,1,3
NivelesInstituto,es.uma.informatica.sii.nivelesinstituto.dtos,Nombre,5,20,0,0,1,5,1,5,1,5
NivelesInstituto,es.uma.informatica.sii.nivelesinstituto.services,LogicaNiveles,0,276,2,22,0,58,2,27,0,17
NivelesInstituto,es.uma.informatica.sii.nivelesinstituto.entities,Grupo,0,40,0,0,0,7,0,9,0,9
NivelesInstituto,es.uma.informatica.sii.nivelesinstituto.entities,Nivel.NivelBuilder,19,18,0,0,0,1,3,3,3,3
NivelesInstituto,es.uma.informatica.sii.nivelesinstituto.entities,Nivel,0,40,0,0,0,7,0,9,0,9
NivelesInstituto,es.uma.informatica.sii.nivelesinstituto.entities,Grupo.GrupoBuilder,9,28,0,0,0,1,1,5,1,5
NivelesInstituto,es.uma.informatica.sii.nivelesinstituto.controllers,NivelesController,0,115,0,0,0,35,0,11,0,11
